participant_id,role,department,comfort_with_ai,main_interest_category,main_interest_detail,concern_category,concern_detail,free_text_feedback
398768,Undergraduate Student,Computer Science,Very Comfortable,Responsible AI,"Understanding fairness, transparency, and accountability for Computer Science AI use",No Major Concerns,"Few concerns so far, just want practical Computer Science guidance","I'm an enthusiastic adopter of AI tools, I care most about learning to use AI responsibly, though I don't have major concerns at this point."
580121,Postdoctoral Researcher,Computer Science,Neutral,Research Productivity,Cutting time spent on repetitive analysis steps in my Computer Science projects,Copyright and Intellectual Property,Protecting intellectual property when using AI tools in Computer Science work,"I have mixed feelings about AI, I'd love practical ways to make my research more productive but copyright and IP questions worry me. I hope the workshop balances enthusiasm with caution."
989431,Postdoctoral Researcher,Engineering,Very Comfortable,Data Analysis,Using AI assistants to write and debug analysis code for Engineering data,Research Integrity,"Maintaining honest, reproducible practices as AI enters Engineering research","I'm an enthusiastic adopter of AI tools, I'm keen to use AI for data analysis, and at the same time my main worry is protecting research integrity. Time for questions specific to Engineering would be valuable."
997710,Undergraduate Student,Humanities,Uncomfortable,Academic Writing,Improving clarity and structure of my Humanities manuscripts and reports,No Major Concerns,No significant worries; mainly curious how AI helps Humanities work,"I'm not very confident with AI yet, I'd like to strengthen my academic writing with AI — that said, I don't have major concerns at this point. Concrete do's and don'ts would make this more useful."
130597,Undergraduate Student,Public Health,Very Comfortable,Programming Assistance,Getting help writing and debugging code for my Public Health work,Lack of Training,Not enough hands-on training to use AI confidently in Public Health,"I'm an enthusiastic adopter of AI tools, I'm hoping to get better at using AI for coding, and at the same time the lack of training is what holds me back. Examples relevant to my day-to-day would make it stick."
777974,Undergraduate Student,Education,Very Comfortable,Responsible AI,"Understanding fairness, transparency, and accountability for Education AI use",Student Overreliance on AI,Students leaning on AI instead of building core Education skills,"I use AI extensively and feel confident with it, I care most about learning to use AI responsibly but I worry students will lean on AI too heavily. I'd appreciate clear guidance tailored to Education work."
314376,Undergraduate Student,Business,Neutral,Programming Assistance,Speeding up software prototyping and automation in Business,Hallucinations and Accuracy,Fabricated references and wrong answers undermining trust in Business tasks,"I have mixed feelings about AI, I'm hoping to get better at using AI for coding, and at the same time the accuracy and hallucination problem concerns me. Please include practical takeaways I can use right away."
604341,Undergraduate Student,Public Health,Comfortable,Programming Assistance,Learning to use AI coding assistants for Public Health scripts and tools,Hallucinations and Accuracy,Fabricated references and wrong answers undermining trust in Public Health tasks,"I'm reasonably comfortable using AI day to day, I'm hoping to get better at using AI for coding — that said, the accuracy and hallucination problem concerns me."
762231,Research Staff,Research Computing,Comfortable,Data Analysis,Interpreting statistical results and building reproducible Research Computing pipelines,Data Privacy,Protecting confidential participant and student data from AI services,"I already use AI fairly regularly, I'm keen to use AI for data analysis but data privacy is my biggest concern. I'd appreciate clear guidance tailored to Research Computing work."
692253,Postdoctoral Researcher,Research Computing,Neutral,Research Productivity,Speeding up routine research tasks so I can focus on Research Computing questions,Copyright and Intellectual Property,Concern about AI training on copyrighted Research Computing materials without permission,"I'm somewhere in the middle on AI, I'd love practical ways to make my research more productive — that said, copyright and IP questions worry me. I'd appreciate clear guidance tailored to Research Computing work."
737983,Academic Advisor,Student Affairs,Uncomfortable,Administrative Efficiency,"Automating reports, scheduling, and routine Student Affairs paperwork with AI",Academic Misconduct,Hard to tell AI-assisted from independent work in Student Affairs courses,"I've only dabbled with AI and feel uncertain, I'm focused on cutting down administrative busywork but I'm concerned about academic misconduct. Time for questions specific to Student Affairs would be valuable."
345208,Undergraduate Student,Computer Science,Very Comfortable,Student Learning Support,Helping Computer Science students use AI tutors without undermining their own learning,Security Risks,Protecting campus systems from AI-related phishing and breaches,"I use AI extensively and feel confident with it, I really want to use AI to better support student learning, though security risks are top of mind for me. Concrete do's and don'ts would make this more useful."
740134,Academic Advisor,Business,Uncomfortable,Student Learning Support,Helping Business students use AI tutors without undermining their own learning,Bias and Fairness,Worried about fairness when AI informs Business decisions about people,"I'm not very confident with AI yet, I really want to use AI to better support student learning, and at the same time I worry about bias and fairness in these tools."
752115,Academic Leadership,Education,Neutral,Administrative Efficiency,Reducing time spent on email and forms across Education operations,Security Risks,Shadow AI use creating unmonitored vulnerabilities across Education infrastructure,"I have mixed feelings about AI, I'm focused on cutting down administrative busywork — that said, security risks are top of mind for me. Concrete do's and don'ts would make this more useful."
567940,Faculty,Business,Uncomfortable,Generative AI Tools,Getting hands-on practice with current generative AI for Business tasks,Copyright and Intellectual Property,Protecting intellectual property when using AI tools in Business work,"I'm not very confident with AI yet, I want to understand which generative AI tools are worth using but copyright and IP questions worry me. A hands-on session with real Business examples would help a lot."
746275,Undergraduate Student,Medicine,Very Comfortable,Student Learning Support,Creating practice problems and study aids for struggling Medicine students,Student Overreliance on AI,Overreliance eroding foundational competencies among Medicine students,"I use AI extensively and feel confident with it, I really want to use AI to better support student learning but I worry students will lean on AI too heavily. Please include practical takeaways I can use right away."
315201,Graduate Student,Biology,Comfortable,Programming Assistance,Learning to use AI coding assistants for Biology scripts and tools,Copyright and Intellectual Property,Protecting intellectual property when using AI tools in Biology work,"I already use AI fairly regularly, I'm hoping to get better at using AI for coding but copyright and IP questions worry me. Examples relevant to my day-to-day would make it stick."
437643,Research Staff,Research Computing,Very Comfortable,Research Computing,Supporting researchers using GPUs and clusters for Research Computing AI work,Research Integrity,Concerned about properly attributing AI contributions in Research Computing scholarship,"I'm an enthusiastic adopter of AI tools, I'm interested in running AI workloads on our computing resources, and at the same time my main worry is protecting research integrity. A hands-on session with real Research Computing examples would help a lot."
180262,Faculty,Education,Very Comfortable,Academic Writing,Improving clarity and structure of my Education manuscripts and reports,Academic Misconduct,Hard to tell AI-assisted from independent work in Education courses,"I'm an enthusiastic adopter of AI tools, I'd like to strengthen my academic writing with AI, though I'm concerned about academic misconduct. I'd appreciate clear guidance tailored to Education work."
710138,Faculty,Public Health,Neutral,Research Productivity,Cutting time spent on repetitive analysis steps in my Public Health projects,Student Overreliance on AI,Worried Public Health students stop thinking critically when AI does the work,"I'm somewhere in the middle on AI, I'd love practical ways to make my research more productive, and at the same time I worry students will lean on AI too heavily. A hands-on session with real Public Health examples would help a lot."
456504,Research Staff,Engineering,Very Uncomfortable,Research Productivity,"Using AI to draft, organize, and accelerate my Engineering research workflow",Security Risks,AI tools opening new security and data-leak risks for Engineering systems,"AI tools still feel intimidating to me, I'd love practical ways to make my research more productive but security risks are top of mind for me. Time for questions specific to Engineering would be valuable."
956172,Graduate Student,Business,Neutral,Literature Review,Speeding up systematic literature searches across Business databases,Academic Misconduct,Rising plagiarism and unauthorized AI use in Business coursework,"I have mixed feelings about AI, what excites me most is speeding up literature reviews — that said, I'm concerned about academic misconduct. Time for questions specific to Business would be valuable."
142825,Research Scientist,Medicine,Neutral,Research Computing,Supporting researchers using GPUs and clusters for Medicine AI work,Bias and Fairness,Hidden bias in AI tools affecting Medicine students and applicants,"I have mixed feelings about AI, I'm interested in running AI workloads on our computing resources but I worry about bias and fairness in these tools."
133719,Academic Advisor,Engineering,Comfortable,Career Development,Building AI skills that strengthen my Engineering career prospects,Data Privacy,Protecting confidential participant and student data from AI services,"I already use AI fairly regularly, I see AI skills as important for my career, though data privacy is my biggest concern. I hope the workshop balances enthusiasm with caution."
643779,Administrative Staff,Sponsored Programs,Very Uncomfortable,Research Compliance,Ensuring data handling and AI use meet Sponsored Programs regulatory standards,Bias and Fairness,Hidden bias in AI tools affecting Sponsored Programs students and applicants,"I'm fairly new to AI and honestly a bit anxious about it, I need AI guidance that respects research compliance, though I worry about bias and fairness in these tools. I hope the workshop balances enthusiasm with caution."
111206,IT Staff,Information Technology,Comfortable,Career Development,Building AI skills that strengthen my Information Technology career prospects,Hallucinations and Accuracy,AI confidently inventing facts and citations in Information Technology work,"I'm reasonably comfortable using AI day to day, I see AI skills as important for my career, and at the same time the accuracy and hallucination problem concerns me. Concrete do's and don'ts would make this more useful."
268934,Undergraduate Student,Public Health,Very Comfortable,Academic Writing,Improving clarity and structure of my Public Health manuscripts and reports,Academic Misconduct,Students using AI to complete Public Health assignments without learning anything,"I use AI extensively and feel confident with it, I'd like to strengthen my academic writing with AI, though I'm concerned about academic misconduct. Concrete do's and don'ts would make this more useful."
738921,Undergraduate Student,Medicine,Neutral,Programming Assistance,Speeding up software prototyping and automation in Medicine,Hallucinations and Accuracy,Fabricated references and wrong answers undermining trust in Medicine tasks,"I'm somewhere in the middle on AI, I'm hoping to get better at using AI for coding — that said, the accuracy and hallucination problem concerns me. I hope the workshop balances enthusiasm with caution."
773486,Research Scientist,Medicine,Uncomfortable,Programming Assistance,Learning to use AI coding assistants for Medicine scripts and tools,Copyright and Intellectual Property,Unclear copyright and ownership rules for AI outputs in Medicine,"I'm not very confident with AI yet, I'm hoping to get better at using AI for coding, and at the same time copyright and IP questions worry me. Examples relevant to my day-to-day would make it stick."
375178,Undergraduate Student,Engineering,Neutral,Academic Writing,Using AI to edit drafts and tighten arguments in Engineering writing,Academic Misconduct,Students using AI to complete Engineering assignments without learning anything,"I have mixed feelings about AI, I'd like to strengthen my academic writing with AI, though I'm concerned about academic misconduct. Time for questions specific to Engineering would be valuable."
660313,Administrative Staff,Medicine,Comfortable,Programming Assistance,Getting help writing and debugging code for my Medicine work,Cost and Resources,Unsure how to fund sustainable AI access for Medicine staff,"I'm reasonably comfortable using AI day to day, I'm hoping to get better at using AI for coding, and at the same time cost and access are practical concerns for us. Concrete do's and don'ts would make this more useful."
242425,Academic Advisor,Education,Uncomfortable,Student Learning Support,Supporting students who need extra help understanding Education concepts,Student Overreliance on AI,Students leaning on AI instead of building core Education skills,"I'm not very confident with AI yet, I really want to use AI to better support student learning, though I worry students will lean on AI too heavily. I'd appreciate clear guidance tailored to Education work."
836322,Undergraduate Student,Medicine,Comfortable,Generative AI Tools,Understanding which generative AI tools actually fit Medicine workflows,Hallucinations and Accuracy,Fabricated references and wrong answers undermining trust in Medicine tasks,"I already use AI fairly regularly, I want to understand which generative AI tools are worth using, and at the same time the accuracy and hallucination problem concerns me. A hands-on session with real Medicine examples would help a lot."
329385,Undergraduate Student,Computer Science,Comfortable,Student Learning Support,Creating practice problems and study aids for struggling Computer Science students,Lack of Training,"Staff lack guidance on safe, effective AI use in Computer Science","I already use AI fairly regularly, I really want to use AI to better support student learning, though the lack of training is what holds me back. I hope the workshop balances enthusiasm with caution."
256872,Graduate Student,Computer Science,Comfortable,Academic Writing,Polishing prose for Computer Science papers while keeping my own voice,Copyright and Intellectual Property,Concern about AI training on copyrighted Computer Science materials without permission,"I'm reasonably comfortable using AI day to day, I'd like to strengthen my academic writing with AI — that said, copyright and IP questions worry me. Examples relevant to my day-to-day would make it stick."
412177,Academic Leadership,Public Health,Uncomfortable,AI Policy and Governance,"Shaping clear, workable AI policy for Public Health faculty and staff",Academic Misconduct,Hard to tell AI-assisted from independent work in Public Health courses,"I've only dabbled with AI and feel uncertain, my priority is sensible AI policy and governance, and at the same time I'm concerned about academic misconduct."
603437,Administrative Staff,Business,Comfortable,Administrative Efficiency,Reducing time spent on email and forms across Business operations,Lack of Training,Not enough hands-on training to use AI confidently in Business,"I'm reasonably comfortable using AI day to day, I'm focused on cutting down administrative busywork, and at the same time the lack of training is what holds me back. Please include practical takeaways I can use right away."
575792,Undergraduate Student,Engineering,Comfortable,Academic Writing,Improving clarity and structure of my Engineering manuscripts and reports,Academic Misconduct,Rising plagiarism and unauthorized AI use in Engineering coursework,"I already use AI fairly regularly, I'd like to strengthen my academic writing with AI, and at the same time I'm concerned about academic misconduct. A hands-on session with real Engineering examples would help a lot."
636058,Research Staff,Public Health,Very Comfortable,Career Development,Understanding how AI is reshaping jobs and roles in Public Health,Research Integrity,Concerned about properly attributing AI contributions in Public Health scholarship,"I'm an enthusiastic adopter of AI tools, I see AI skills as important for my career — that said, my main worry is protecting research integrity. Examples relevant to my day-to-day would make it stick."
495043,Undergraduate Student,Business,Very Uncomfortable,Programming Assistance,Getting help writing and debugging code for my Business work,No Major Concerns,No significant worries; mainly curious how AI helps Business work,"I'm fairly new to AI and honestly a bit anxious about it, I'm hoping to get better at using AI for coding, though I don't have major concerns at this point. Time for questions specific to Business would be valuable."
690727,Faculty,Public Health,Neutral,Teaching and Course Design,Rethinking assessments in Public Health now that students have AI tools,Student Overreliance on AI,Overreliance eroding foundational competencies among Public Health students,"I have mixed feelings about AI, I'm most interested in applying AI to teaching and course design but I worry students will lean on AI too heavily. Please include practical takeaways I can use right away."
291654,Graduate Student,Humanities,Comfortable,Generative AI Tools,Comparing chatbots and assistants for practical Humanities use cases,Research Integrity,"Maintaining honest, reproducible practices as AI enters Humanities research","I already use AI fairly regularly, I want to understand which generative AI tools are worth using, and at the same time my main worry is protecting research integrity. A hands-on session with real Humanities examples would help a lot."
890195,Faculty,Engineering,Comfortable,Grant Writing,Drafting and tightening grant proposals for Engineering sponsored projects,Student Overreliance on AI,Students leaning on AI instead of building core Engineering skills,"I'm reasonably comfortable using AI day to day, I'd especially value help with grant writing, though I worry students will lean on AI too heavily. I'd appreciate clear guidance tailored to Engineering work."
604762,Undergraduate Student,Computer Science,Very Comfortable,Career Development,Building AI skills that strengthen my Computer Science career prospects,Hallucinations and Accuracy,Fabricated references and wrong answers undermining trust in Computer Science tasks,"I use AI extensively and feel confident with it, I see AI skills as important for my career, though the accuracy and hallucination problem concerns me. Please include practical takeaways I can use right away."
879101,Administrative Staff,Sponsored Programs,Very Comfortable,Research Compliance,Keeping AI use aligned with IRB and Sponsored Programs research regulations,Data Privacy,Sensitive Sponsored Programs data being exposed when pasted into AI tools,"I use AI extensively and feel confident with it, I need AI guidance that respects research compliance — that said, data privacy is my biggest concern. Time for questions specific to Sponsored Programs would be valuable."
943707,Graduate Student,Humanities,Neutral,Academic Writing,Polishing prose for Humanities papers while keeping my own voice,Hallucinations and Accuracy,Hard to verify AI output accuracy for technical Humanities questions,"I have mixed feelings about AI, I'd like to strengthen my academic writing with AI — that said, the accuracy and hallucination problem concerns me. Examples relevant to my day-to-day would make it stick."
211185,Faculty,Medicine,Uncomfortable,Academic Writing,Polishing prose for Medicine papers while keeping my own voice,Hallucinations and Accuracy,Hard to verify AI output accuracy for technical Medicine questions,"I'm not very confident with AI yet, I'd like to strengthen my academic writing with AI, and at the same time the accuracy and hallucination problem concerns me. I hope the workshop balances enthusiasm with caution."
920324,Graduate Student,Humanities,Very Comfortable,Programming Assistance,Getting help writing and debugging code for my Humanities work,Security Risks,Protecting campus systems from AI-related phishing and breaches,"I use AI extensively and feel confident with it, I'm hoping to get better at using AI for coding, and at the same time security risks are top of mind for me. Concrete do's and don'ts would make this more useful."
685009,Postdoctoral Researcher,Engineering,Neutral,Research Productivity,Speeding up routine research tasks so I can focus on Engineering questions,Hallucinations and Accuracy,Fabricated references and wrong answers undermining trust in Engineering tasks,"I have mixed feelings about AI, I'd love practical ways to make my research more productive but the accuracy and hallucination problem concerns me. Please include practical takeaways I can use right away."
496155,Administrative Staff,Sponsored Programs,Very Comfortable,Academic Writing,Using AI to edit drafts and tighten arguments in Sponsored Programs writing,Data Privacy,Unclear where AI vendors store and reuse our Sponsored Programs data,"I use AI extensively and feel confident with it, I'd like to strengthen my academic writing with AI — that said, data privacy is my biggest concern. I hope the workshop balances enthusiasm with caution."
180451,Undergraduate Student,Humanities,Comfortable,Academic Writing,Using AI to edit drafts and tighten arguments in Humanities writing,Student Overreliance on AI,Students leaning on AI instead of building core Humanities skills,"I'm reasonably comfortable using AI day to day, I'd like to strengthen my academic writing with AI, and at the same time I worry students will lean on AI too heavily. I'd appreciate clear guidance tailored to Humanities work."
643391,Undergraduate Student,Humanities,Neutral,Administrative Efficiency,"Automating reports, scheduling, and routine Humanities paperwork with AI",Copyright and Intellectual Property,Unclear copyright and ownership rules for AI outputs in Humanities,"I'm somewhere in the middle on AI, I'm focused on cutting down administrative busywork, though copyright and IP questions worry me."
900507,Research Staff,Engineering,Neutral,Data Analysis,"Cleaning, exploring, and visualizing Engineering datasets more quickly",Data Privacy,Sensitive Engineering data being exposed when pasted into AI tools,"I'm somewhere in the middle on AI, I'm keen to use AI for data analysis — that said, data privacy is my biggest concern. Time for questions specific to Engineering would be valuable."
368486,Faculty,Education,Uncomfortable,Grant Writing,Improving clarity and turnaround on competitive Education grant applications,Bias and Fairness,Hidden bias in AI tools affecting Education students and applicants,"I'm not very confident with AI yet, I'd especially value help with grant writing but I worry about bias and fairness in these tools. I'd appreciate clear guidance tailored to Education work."
248869,Undergraduate Student,Biology,Neutral,Student Learning Support,Supporting students who need extra help understanding Biology concepts,Lack of Training,Not enough hands-on training to use AI confidently in Biology,"I'm somewhere in the middle on AI, I really want to use AI to better support student learning — that said, the lack of training is what holds me back. I hope the workshop balances enthusiasm with caution."
461343,IT Staff,Research Computing,Comfortable,Generative AI Tools,Getting hands-on practice with current generative AI for Research Computing tasks,Cost and Resources,Unsure how to fund sustainable AI access for Research Computing staff,"I'm reasonably comfortable using AI day to day, I want to understand which generative AI tools are worth using, and at the same time cost and access are practical concerns for us. Concrete do's and don'ts would make this more useful."
338782,Graduate Student,Medicine,Uncomfortable,Career Development,Preparing for an AI-influenced job market after my Medicine studies,Hallucinations and Accuracy,AI confidently inventing facts and citations in Medicine work,"I'm not very confident with AI yet, I see AI skills as important for my career — that said, the accuracy and hallucination problem concerns me. Please include practical takeaways I can use right away."
391859,Faculty,Biology,Uncomfortable,Grant Writing,Using AI to outline aims and polish narratives for Biology funding,Hallucinations and Accuracy,Fabricated references and wrong answers undermining trust in Biology tasks,"I'm not very confident with AI yet, I'd especially value help with grant writing — that said, the accuracy and hallucination problem concerns me. Please include practical takeaways I can use right away."
334996,Undergraduate Student,Biology,Comfortable,Academic Writing,Improving clarity and structure of my Biology manuscripts and reports,Lack of Training,Few resources to help Biology colleagues build practical AI skills,"I'm reasonably comfortable using AI day to day, I'd like to strengthen my academic writing with AI, and at the same time the lack of training is what holds me back. Please include practical takeaways I can use right away."
395394,Department Chair,Biology,Comfortable,Literature Review,Speeding up systematic literature searches across Biology databases,Student Overreliance on AI,Worried Biology students stop thinking critically when AI does the work,"I already use AI fairly regularly, what excites me most is speeding up literature reviews, though I worry students will lean on AI too heavily. Examples relevant to my day-to-day would make it stick."
732630,Faculty,Business,Comfortable,Research Productivity,"Using AI to draft, organize, and accelerate my Business research workflow",Lack of Training,"Staff lack guidance on safe, effective AI use in Business","I already use AI fairly regularly, I'd love practical ways to make my research more productive, and at the same time the lack of training is what holds me back. Time for questions specific to Business would be valuable."
442257,Undergraduate Student,Biology,Very Comfortable,Literature Review,Summarizing and screening large bodies of Biology literature efficiently,No Major Concerns,Generally optimistic about AI's role in supporting Biology tasks,"I use AI extensively and feel confident with it, what excites me most is speeding up literature reviews, though I don't have major concerns at this point. A hands-on session with real Biology examples would help a lot."
293849,Postdoctoral Researcher,Engineering,Comfortable,Grant Writing,Using AI to outline aims and polish narratives for Engineering funding,Copyright and Intellectual Property,Unclear copyright and ownership rules for AI outputs in Engineering,"I already use AI fairly regularly, I'd especially value help with grant writing, though copyright and IP questions worry me. I'd appreciate clear guidance tailored to Engineering work."
476716,Undergraduate Student,Biology,Neutral,Student Learning Support,Helping Biology students use AI tutors without undermining their own learning,Data Privacy,Protecting confidential participant and student data from AI services,"I have mixed feelings about AI, I really want to use AI to better support student learning, though data privacy is my biggest concern. I'd appreciate clear guidance tailored to Biology work."
706137,Graduate Student,Medicine,Very Uncomfortable,Programming Assistance,Learning to use AI coding assistants for Medicine scripts and tools,Research Integrity,Worried AI-generated text could undermine integrity of Medicine research outputs,"AI tools still feel intimidating to me, I'm hoping to get better at using AI for coding, and at the same time my main worry is protecting research integrity. Concrete do's and don'ts would make this more useful."
111625,Librarian,Library Services,Very Comfortable,AI Policy and Governance,"Shaping clear, workable AI policy for Library Services faculty and staff",Copyright and Intellectual Property,Protecting intellectual property when using AI tools in Library Services work,"I use AI extensively and feel confident with it, my priority is sensible AI policy and governance but copyright and IP questions worry me. Examples relevant to my day-to-day would make it stick."
486227,Postdoctoral Researcher,Computer Science,Neutral,Career Development,Building AI skills that strengthen my Computer Science career prospects,Copyright and Intellectual Property,Protecting intellectual property when using AI tools in Computer Science work,"I'm somewhere in the middle on AI, I see AI skills as important for my career, though copyright and IP questions worry me. Concrete do's and don'ts would make this more useful."
893051,Postdoctoral Researcher,Research Computing,Comfortable,Grant Writing,Using AI to outline aims and polish narratives for Research Computing funding,Research Integrity,"Maintaining honest, reproducible practices as AI enters Research Computing research","I'm reasonably comfortable using AI day to day, I'd especially value help with grant writing — that said, my main worry is protecting research integrity. Examples relevant to my day-to-day would make it stick."
984261,IT Staff,Information Technology,Comfortable,Research Computing,Running AI and ML workloads on shared Information Technology computing resources,Security Risks,Protecting campus systems from AI-related phishing and breaches,"I'm reasonably comfortable using AI day to day, I'm interested in running AI workloads on our computing resources — that said, security risks are top of mind for me. Please include practical takeaways I can use right away."
734467,Graduate Student,Business,Very Comfortable,Literature Review,Speeding up systematic literature searches across Business databases,Research Integrity,Worried AI-generated text could undermine integrity of Business research outputs,"I use AI extensively and feel confident with it, what excites me most is speeding up literature reviews, though my main worry is protecting research integrity. Please include practical takeaways I can use right away."
661770,Faculty,Medicine,Comfortable,Research Productivity,Speeding up routine research tasks so I can focus on Medicine questions,Research Integrity,Concerned about properly attributing AI contributions in Medicine scholarship,"I already use AI fairly regularly, I'd love practical ways to make my research more productive, and at the same time my main worry is protecting research integrity. Examples relevant to my day-to-day would make it stick."
618589,Undergraduate Student,Business,Very Uncomfortable,Student Learning Support,Helping Business students use AI tutors without undermining their own learning,Bias and Fairness,AI models producing biased outputs that disadvantage some Business groups,"I'm fairly new to AI and honestly a bit anxious about it, I really want to use AI to better support student learning but I worry about bias and fairness in these tools. Please include practical takeaways I can use right away."
397282,Research Staff,Biology,Very Comfortable,Grant Writing,Using AI to outline aims and polish narratives for Biology funding,Cost and Resources,Unsure how to fund sustainable AI access for Biology staff,"I'm an enthusiastic adopter of AI tools, I'd especially value help with grant writing, though cost and access are practical concerns for us. A hands-on session with real Biology examples would help a lot."
416624,Research Staff,Biology,Comfortable,Research Compliance,Keeping AI use aligned with IRB and Biology research regulations,Research Compliance,AI use possibly conflicting with IRB and Biology compliance rules,"I already use AI fairly regularly, I need AI guidance that respects research compliance, though staying compliant with research rules is a real concern. Concrete do's and don'ts would make this more useful."
624869,Undergraduate Student,Humanities,Neutral,Student Learning Support,Helping Humanities students use AI tutors without undermining their own learning,Academic Misconduct,Students using AI to complete Humanities assignments without learning anything,"I'm somewhere in the middle on AI, I really want to use AI to better support student learning, though I'm concerned about academic misconduct. A hands-on session with real Humanities examples would help a lot."
668300,Academic Advisor,Student Affairs,Uncomfortable,Generative AI Tools,Getting hands-on practice with current generative AI for Student Affairs tasks,Data Privacy,Unclear where AI vendors store and reuse our Student Affairs data,"I've only dabbled with AI and feel uncertain, I want to understand which generative AI tools are worth using, and at the same time data privacy is my biggest concern. Please include practical takeaways I can use right away."
305524,Faculty,Biology,Comfortable,Responsible AI,Building responsible-use habits and disclosure norms for Biology work,Copyright and Intellectual Property,Unclear copyright and ownership rules for AI outputs in Biology,"I'm reasonably comfortable using AI day to day, I care most about learning to use AI responsibly — that said, copyright and IP questions worry me. Concrete do's and don'ts would make this more useful."
452691,Graduate Student,Computer Science,Neutral,Generative AI Tools,Understanding which generative AI tools actually fit Computer Science workflows,Student Overreliance on AI,Overreliance eroding foundational competencies among Computer Science students,"I have mixed feelings about AI, I want to understand which generative AI tools are worth using but I worry students will lean on AI too heavily. Please include practical takeaways I can use right away."
692686,Academic Advisor,Student Affairs,Neutral,Grant Writing,Using AI to outline aims and polish narratives for Student Affairs funding,Data Privacy,Unclear where AI vendors store and reuse our Student Affairs data,"I'm somewhere in the middle on AI, I'd especially value help with grant writing — that said, data privacy is my biggest concern. Time for questions specific to Student Affairs would be valuable."
449367,Research Scientist,Public Health,Comfortable,Student Learning Support,Helping Public Health students use AI tutors without undermining their own learning,Bias and Fairness,Worried about fairness when AI informs Public Health decisions about people,"I already use AI fairly regularly, I really want to use AI to better support student learning, though I worry about bias and fairness in these tools. Examples relevant to my day-to-day would make it stick."
906209,Undergraduate Student,Biology,Uncomfortable,Student Learning Support,Helping Biology students use AI tutors without undermining their own learning,No Major Concerns,"Few concerns so far, just want practical Biology guidance","I'm not very confident with AI yet, I really want to use AI to better support student learning but I don't have major concerns at this point."
806656,Faculty,Computer Science,Very Comfortable,Responsible AI,"Understanding fairness, transparency, and accountability for Computer Science AI use",Academic Misconduct,Students using AI to complete Computer Science assignments without learning anything,"I use AI extensively and feel confident with it, I care most about learning to use AI responsibly, though I'm concerned about academic misconduct. I'd appreciate clear guidance tailored to Computer Science work."
128401,IT Staff,Information Technology,Very Comfortable,Responsible AI,Building responsible-use habits and disclosure norms for Information Technology work,Data Privacy,Unclear where AI vendors store and reuse our Information Technology data,"I use AI extensively and feel confident with it, I care most about learning to use AI responsibly but data privacy is my biggest concern. I'd appreciate clear guidance tailored to Information Technology work."
501433,Graduate Student,Education,Very Comfortable,Research Productivity,Cutting time spent on repetitive analysis steps in my Education projects,Research Integrity,"Maintaining honest, reproducible practices as AI enters Education research","I'm an enthusiastic adopter of AI tools, I'd love practical ways to make my research more productive, and at the same time my main worry is protecting research integrity. I hope the workshop balances enthusiasm with caution."
152159,Faculty,Public Health,Neutral,Academic Writing,Improving clarity and structure of my Public Health manuscripts and reports,Lack of Training,Few resources to help Public Health colleagues build practical AI skills,"I have mixed feelings about AI, I'd like to strengthen my academic writing with AI but the lack of training is what holds me back."
368014,Faculty,Humanities,Neutral,Research Productivity,Cutting time spent on repetitive analysis steps in my Humanities projects,Lack of Training,Few resources to help Humanities colleagues build practical AI skills,"I have mixed feelings about AI, I'd love practical ways to make my research more productive, and at the same time the lack of training is what holds me back. Concrete do's and don'ts would make this more useful."
949738,Undergraduate Student,Computer Science,Comfortable,Responsible AI,Building responsible-use habits and disclosure norms for Computer Science work,No Major Concerns,"Few concerns so far, just want practical Computer Science guidance","I already use AI fairly regularly, I care most about learning to use AI responsibly, though I don't have major concerns at this point. Examples relevant to my day-to-day would make it stick."
207340,Administrative Staff,Sponsored Programs,Very Comfortable,Career Development,Understanding how AI is reshaping jobs and roles in Sponsored Programs,Lack of Training,Not enough hands-on training to use AI confidently in Sponsored Programs,"I'm an enthusiastic adopter of AI tools, I see AI skills as important for my career — that said, the lack of training is what holds me back. Time for questions specific to Sponsored Programs would be valuable."
937917,IT Staff,Research Computing,Very Comfortable,Generative AI Tools,Comparing chatbots and assistants for practical Research Computing use cases,Security Risks,AI tools opening new security and data-leak risks for Research Computing systems,"I'm an enthusiastic adopter of AI tools, I want to understand which generative AI tools are worth using, though security risks are top of mind for me. Please include practical takeaways I can use right away."
438980,Undergraduate Student,Engineering,Very Comfortable,Academic Writing,Improving clarity and structure of my Engineering manuscripts and reports,Academic Misconduct,Rising plagiarism and unauthorized AI use in Engineering coursework,"I use AI extensively and feel confident with it, I'd like to strengthen my academic writing with AI but I'm concerned about academic misconduct. A hands-on session with real Engineering examples would help a lot."
974246,Research Staff,Medicine,Very Comfortable,Grant Writing,Improving clarity and turnaround on competitive Medicine grant applications,Research Compliance,AI use possibly conflicting with IRB and Medicine compliance rules,"I use AI extensively and feel confident with it, I'd especially value help with grant writing but staying compliant with research rules is a real concern. Time for questions specific to Medicine would be valuable."
643713,Graduate Student,Business,Very Comfortable,Research Productivity,Cutting time spent on repetitive analysis steps in my Business projects,Security Risks,Shadow AI use creating unmonitored vulnerabilities across Business infrastructure,"I use AI extensively and feel confident with it, I'd love practical ways to make my research more productive, and at the same time security risks are top of mind for me."
